coordinates
290,"(32.68506, -117.1076799)"
291,"(33.9760906, -117.3620775)"
292,"(34.0035515, -118.4227286)"
293,"(32.802974, -117.1635048)"
294,"(32.7508617, -117.242362)"
295,"(32.7956961, -117.245457)"
296,"(32.7504303, -117.1388119)"
297,"(29.425437, -97.1666917)"
298,"(32.7693896, -117.1701059)"
299,"(32.7188219, -117.0504025)"
300,"(32.7947278, -117.2549211)"
301,"(32.7981001, -117.2114506)"
302,"(32.7981001, -117.2114506)"
303,"(32.7981001, -117.2114506)"
304,"(29.4357865, -97.1785086)"
305,"(33.8402228, -118.1763009)"
306,"(42.7923937, -76.5594479)"
307,"(32.7475282, -117.1293405)"
308,"(32.8680512, -117.2168658)"
309,"(32.7532169, -117.1050582)"
310,"(42.20409679999999, -71.1527665)"
311,"(42.8021937, -76.5598893)"
312,"(30.2895333, -97.74593279999999)"
313,"(37.8045327, -122.448269)"
314,"(32.7531154, -117.0901208)"
315,"(42.840578, -76.5754757)"
316,"(32.9304042, -117.2416133)"
317,"(44.0714644, -70.2658833)"
318,"(32.7497451, -117.1093105)"
319,"(32.74318, -117.1309896)"
320,"(47.7998548, -96.6072394)"
321,"(39.6747162, -83.9240373)"
322,"(32.7534819, -117.2102829)"
323,"(25.838349, -80.2822262)"
324,"(44.3213893, -88.18842479999999)"
325,"(44.3213893, -88.18842479999999)"
326,"(53.1992, -105.77285)"
327,"(32.937789, -117.2333244)"
328,"(40.7463059, -74.0056618)"
329,"(32.9567726, -117.1260872)"
330,"(42.8008243, -76.559834)"
331,"(32.816015, -117.0874729)"
332,"(30.2809246, -97.7362136)"
333,"(39.7721095, -105.0251873)"
334,"(32.8190671, -117.1836915)"
335,"(32.9683896, -117.1292756)"
336,"(38.9009929, -77.02992809999999)"
337,"(53.1992, -105.77285)"
338,"(44.3213893, -88.18842479999999)"
339,"(32.7993843, -117.2427074)"
340,"(32.7762065, -117.0995738)"
341,"(32.7727182, -117.1574795)"
342,"(32.8138593, -117.2695761)"
343,"(32.8342125, -117.2494726)"
344,"(32.8012165, -117.249114)"
345,"(32.7931828, -117.0953988)"
346,"(37.0548071, -94.4594077)"
347,"(32.7041994, -117.0937011)"
348,"(42.0594557, -71.0370894)"
349,"(32.8222154, -117.1339161)"
350,"(32.706548, -117.135876)"
351,"(33.8153021, -118.176324)"
352,"(32.801955, -117.1539807)"
353,"(32.6799953, -117.0425026)"
354,"(32.7981001, -117.2114506)"
355,"(32.7981001, -117.2114506)"
356,"(32.792368, -117.2386212)"
357,"(40.2470528, -75.6294738)"
358,"(48.4953529, -122.6586444)"
359,"(32.7469394, -117.226674)"
360,"(41.6525969, -91.53432529999999)"
361,"(40.6374102, -73.9990899)"
362,"(32.7485512, -117.1534528)"
363,"(32.7851717, -117.1111026)"
364,"(32.7390702, -117.0876343)"
365,"(32.8333227, -117.1977294)"
366,"(29.4379832, -97.181139)"
367,"(42.9838469, -71.463062)"
368,"(32.8311724, -117.2017713)"
369,"(32.7548705, -117.1041643)"
370,"(36.077923, -102.519732)"
371,"(32.7484767, -117.1338728)"
372,"(41.5003118, -81.68579129999999)"
373,"(32.7886501, -117.1125521)"
374,"(32.7698423, -117.251031)"
375,"(44.139122, -93.9606426)"
376,"(38.4165991, -121.4478207)"
377,"(33.022916, -117.0742407)"
378,"(34.0428012, -118.4886694)"
379,"(32.7877055, -117.0992273)"
380,"(42.3331379, -71.1196804)"
381,"(34.1114857, -118.3979846)"
382,"(32.8048627, -117.1559803)"
383,"(32.7478791, -117.1229125)"
384,"(29.8261436, -95.3763147)"
385,"(41.3232687, -95.9607029)"
386,"(32.5739148, -117.0666025)"
387,"(36.121032, -115.1382945)"
388,"(32.5452956, -117.0310417)"
389,"(33.6811146, -101.3874634)"
390,"(32.7718518, -117.0945594)"
391,"(33.6851031, -101.3874876)"
392,"(32.8063517, -117.1860998)"
393,"(32.705637, -117.080703)"
394,"(32.8069556, -117.2151708)"
395,"(32.7999511, -117.105979)"
396,"(32.7411055, -117.1314316)"
397,"(32.8327576, -117.1612703)"
398,"(43.1907619, -86.2592907)"
399,"(32.8190671, -117.1836915)"
400,"(32.8061675, -117.2189142)"
401,"(32.7939634, -117.2390997)"
402,"(44.967284, -93.2065277)"
403,"(32.7936813, -117.2545844)"
404,"(32.7486701, -117.1300248)"
405,"(32.746029, -117.0585427)"
406,"(33.0974698, -117.0002008)"
407,"(32.9609748, -117.2078371)"
408,"(32.827768, -117.2087984)"
409,"(28.5379755, -81.3688188)"
410,"(42.6981679, -76.53594199999999)"
411,"(38.904548, -77.044493)"
412,"(32.8360036, -117.1534327)"
413,"(32.7727198, -117.1574778)"
414,"(35.0701269, -114.595577)"
415,"(32.8419051, -117.2729664)"
416,"(31.78057, -106.46703)"
417,"(32.7677337, -117.1905688)"
418,"(32.9164379, -117.1494244)"
419,"(32.8049298, -117.1401559)"
420,"(32.7478551, -117.2081987)"
421,"(42.4843921, -78.54469279999999)"
422,"(32.8095945, -117.2633724)"
423,"(40.8297752, -81.32703459999999)"
424,"(32.7524457, -117.2308802)"
425,"(34.0776796, -118.2664101)"
426,"(33.0310113, -117.0875684)"
427,"(33.9017602, -118.4179545)"
428,"(32.8011634, -117.2256243)"
429,"(32.7496428, -117.104474)"
430,"(32.8282561, -117.1686173)"
431,"(32.7098827, -117.0639575)"
432,"(32.7508617, -117.242362)"
433,"(32.97635959999999, -117.0832735)"
434,"(33.6639261, -117.870095)"
435,"(39.0149442, -94.64423939999999)"
436,"(34.2023942, -118.1591862)"
437,"(35.0891103, -114.6120167)"
438,"(40.7467254, -73.9769845)"
439,"(32.7537063, -117.1462632)"
440,"(43.2889018, -83.7153455)"
